actor_distribution_enabled,actor_rows,arm,complete,completion_reward_margin,episodes,horizons,integrity_equal,kind,recorded_rows,reward_factual_auroc,reward_factual_average_precision,rows,seed,states,step,summary_path
,4824,fifo_100k,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/fifo_100k/seed_0001/step_000000800000/summary.json
,4584,fifo_100k,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/fifo_100k/seed_0002/step_000000000000/summary.json
,4584,fifo_100k,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/fifo_100k/seed_0002/step_000000200000/summary.json
,4584,fifo_100k,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/fifo_100k/seed_0002/step_000000400000/summary.json
,4584,fifo_100k,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/fifo_100k/seed_0002/step_000000600000/summary.json
,4584,fifo_100k,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/fifo_100k/seed_0002/step_000000800000/summary.json
,4464,uniform_reservoir,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000000000/summary.json
,4464,uniform_reservoir,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000200000/summary.json
,4464,uniform_reservoir,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000400000/summary.json
,4464,uniform_reservoir,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000600000/summary.json
,4464,uniform_reservoir,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000800000/summary.json
,4824,uniform_reservoir,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0001/step_000000000000/summary.json
,4824,uniform_reservoir,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0001/step_000000200000/summary.json
,4824,uniform_reservoir,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0001/step_000000400000/summary.json
,4824,uniform_reservoir,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0001/step_000000600000/summary.json
,4824,uniform_reservoir,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0001/step_000000800000/summary.json
,4584,uniform_reservoir,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0002/step_000000000000/summary.json
,4584,uniform_reservoir,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0002/step_000000200000/summary.json
,4584,uniform_reservoir,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0002/step_000000400000/summary.json
,4584,uniform_reservoir,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0002/step_000000600000/summary.json
,4584,uniform_reservoir,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0002/step_000000800000/summary.json
